timestamp,turbidity,tds,ph,temperature,quality,diseases
2025-10-17 00:17:21,0.0,6.52,6.07,30.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:17:27,0.0,8.15,6.07,30.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:17:32,0.0,6.52,6.07,30.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:17:38,0.0,8.15,6.12,30.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:17:44,100.0,6.52,6.01,30.06,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:17:49,0.0,6.52,6.01,30.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:17:56,0.0,6.52,6.01,30.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:01,0.0,6.52,6.01,30.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:07,0.0,8.15,6.04,30.12,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:12,0.0,6.52,6.01,31.06,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:18,0.0,6.52,6.01,32.13,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:23,100.0,6.52,6.01,32.63,HIGH RISK 🚨,"Diarrhea, Dysentery, Skin Irritation"
2025-10-17 00:18:29,0.0,6.52,6.04,32.5,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:34,0.0,6.52,6.01,32.31,MEDIUM RISK ⚠️,Skin Irritation
2025-10-17 00:18:40,100.0,6.52,5.98,32.19,HIGH RISK 🚨,"Diarrhea, Dysentery, Skin Irritation"
2025-10-17 00:18:46,100.0,6.52,5.98,32.06,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:18:51,100.0,4.89,6.01,31.94,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:18:57,100.0,4.89,5.98,31.81,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
2025-10-17 00:19:02,100.0,4.89,5.98,31.75,HIGH RISK 🚨,"Diarrhea, Dysentery, Typhoid, Skin Irritation"
